ax,ay,az,gx,gy,gz
0.0001,-0.0726,0.9679,-1.7271,10.6171,0.7103
-0.0018,-0.0743,0.9698,0.2617,5.1515,0.1869
-0.0087,-0.0821,0.9901,0.3065,2.2954,-0.6206
-0.0068,-0.0838,0.9851,-0.5682,3.0954,-0.5757
-0.0085,-0.0793,0.9845,-1.3458,2.4524,-0.3065
-0.0052,-0.0801,0.9824,-1.8842,1.3683,-0.6729
-0.0067,-0.0778,0.9855,-1.8617,0.0598,-0.1944
-0.0138,-0.0781,0.9926,-1.4804,0.0075,-0.6580
-0.0122,-0.0834,0.9885,-1.3757,0.4037,-0.5608
-0.0168,-0.0773,0.9940,-1.3907,0.4411,-0.9570
-0.0198,-0.0842,0.9942,-1.6075,0.8673,-0.2393
-0.0197,-0.0827,0.9966,-1.8019,3.1104,-0.6654
-0.0195,-0.0811,0.9943,-1.9814,5.0095,-0.0673
-0.0180,-0.0813,0.9911,-2.1533,6.0786,0.0075
-0.0143,-0.0825,0.9900,-3.3720,6.7516,0.1944
-0.0167,-0.0759,1.0010,-4.0973,7.7534,0.4262
0.0284,-0.0412,1.0114,-7.1777,12.1274,0.8374
-0.0052,-0.0859,1.0294,-11.6414,22.1388,1.3832
0.0060,-0.0693,1.0152,-11.7760,31.0661,2.6393
0.0049,-0.0621,1.0161,-10.7890,38.6626,3.3421
0.0242,-0.0638,1.0123,-8.6507,43.9861,2.7515
0.0620,-0.0683,1.0040,-4.2393,47.8291,5.5553
0.0648,-0.0563,1.0093,-2.9459,55.1639,6.7590
0.0841,-0.0676,1.0129,-5.1515,63.6800,5.9740
0.1148,-0.0801,0.9836,-2.4748,71.5456,7.7385
0.1453,-0.0403,0.9700,-5.1141,75.4559,8.0226
0.1528,-0.0475,0.9379,-5.4506,73.0409,7.4544
0.2153,-0.0507,0.9225,-10.0114,65.1828,8.0675
0.2638,-0.0587,0.9404,-16.7555,64.1510,10.0189
0.2968,-0.0331,0.8381,-11.5741,41.3243,7.3123
0.2972,-0.0283,0.9549,-23.8585,32.1054,4.4263
0.2910,-0.0076,0.9055,-34.6774,34.2213,-0.6953
0.3004,-0.0010,1.0029,-37.6906,46.5431,0.3140
0.3209,0.0193,0.9634,-31.6119,61.4145,-0.2393
0.3510,0.0332,0.9374,-29.5633,71.6353,1.9290
0.3843,0.0293,0.9178,-21.2939,81.1682,4.8151
0.3895,0.0462,0.8891,-9.1666,81.5421,5.8768
0.4130,0.0243,0.8809,-0.0748,77.6167,6.9833
0.4387,0.0466,0.8027,4.3066,66.1398,7.2002
0.4625,0.0714,0.7793,5.6300,44.2029,4.1870
0.5183,0.0549,0.8161,10.1535,32.3596,3.2449
0.5365,0.0545,0.7916,11.7087,22.4603,0.2617
0.5074,0.0286,0.7324,12.0825,-0.2916,2.2057
0.5068,0.0318,0.7820,11.6040,-25.3688,3.4991
0.5144,0.0103,0.7930,9.1666,-32.9279,1.9365
0.4957,0.0247,0.8118,1.6299,-25.6679,2.4823
0.4755,0.0174,0.8295,-8.7553,-19.7238,2.2281
0.4487,0.0160,0.8320,-16.3742,-18.2210,5.8992
0.4302,0.0298,0.8336,-24.7632,-19.6790,15.3424
0.4305,0.0439,0.8532,-34.4456,-18.3257,21.5033
0.4016,0.0634,0.8660,-43.1412,-13.1891,28.0380
0.4003,0.1038,0.8791,-44.6590,-5.3310,29.9596
0.4041,0.1371,0.8839,-44.3449,4.3291,35.2158
0.4040,0.1755,0.8682,-52.7788,15.7013,41.8925
0.3817,0.1868,0.8258,-57.3845,26.6698,47.0964
0.4317,0.2108,0.8203,-56.0387,31.1708,50.9769
0.4448,0.2413,0.8720,-51.1713,30.6624,49.1226
0.4119,0.2510,0.7859,-44.9281,23.2977,46.3861
0.4431,0.3018,0.7733,-39.0289,19.7986,46.6029
0.4304,0.3409,0.7351,-32.2475,19.8210,50.1395
0.4535,0.3674,0.7206,-27.7390,23.4921,56.1433
0.4199,0.4088,0.6616,-26.5352,28.2249,58.9771
0.4509,0.4401,0.7154,-26.4604,35.0438,60.5621
0.4614,0.4266,0.6906,-21.6603,43.5225,64.6594
0.4258,0.3828,0.6628,-17.3686,23.8510,59.5677
0.4423,0.3840,0.6599,-11.4171,5.9590,51.1563
0.4388,0.4546,0.7075,-2.3402,-10.0787,43.8440
0.4371,0.4542,0.7275,0.5458,-2.7664,32.9578
0.4061,0.4620,0.7026,7.4319,-1.7346,29.1446
0.3882,0.4606,0.7245,7.0207,1.2262,23.4996
0.3809,0.4604,0.7280,6.5422,2.2356,19.2079
0.3835,0.4645,0.7141,9.8769,4.1945,19.4771
0.3727,0.4648,0.7271,10.4750,6.3852,20.1126
0.3740,0.4354,0.7340,12.5461,7.1852,20.3593
0.3694,0.4422,0.7249,14.0938,4.4711,16.7107
0.3674,0.4584,0.7284,8.8824,4.0076,13.4508
0.3751,0.4504,0.7363,4.1122,4.0001,9.6301
0.3758,0.4448,0.7366,1.0617,3.5365,4.9048
0.3821,0.4506,0.7266,-3.6412,2.1458,-1.9963
0.3849,0.4871,0.7340,-10.1759,0.7925,-10.8040
0.4367,0.4601,0.8289,-6.7441,5.2711,-30.2512
0.4501,0.4512,0.8337,-3.6861,23.5669,-49.5264
0.4540,0.4660,0.8323,-0.5383,29.1595,-69.0483
0.4740,0.4544,0.8116,10.0114,-2.0262,-77.1307
0.4483,0.4154,0.7246,16.5163,-19.0808,-84.1888
0.4351,0.4144,0.6947,17.4957,-13.6078,-86.8730
0.3168,0.3386,0.6434,14.3181,1.7197,-81.4897
0.4687,0.3129,0.7190,3.2748,25.0772,-81.5346
0.5242,0.3247,0.7200,4.1721,23.9034,-82.0729
0.5028,0.3295,0.7606,2.1608,14.4975,-79.4411
0.5161,0.3005,0.8008,2.4374,15.1256,-83.2169
0.5287,0.2651,0.7878,8.2320,25.0398,-92.7647
0.4949,0.2065,0.7369,10.9760,30.7671,-102.1332
0.5204,0.1584,0.6858,18.0042,32.0905,-105.3482
0.5471,0.1533,0.6588,23.6267,27.0361,-101.1986
0.6072,0.0947,0.6526,18.2359,18.9014,-75.6204
0.5760,0.0552,0.7116,21.8921,25.9744,-62.9472
0.5934,0.0213,0.6736,27.7090,46.4459,-71.3661
0.6407,0.0181,0.6902,31.2531,51.8965,-70.8278
0.6740,0.0097,0.6774,38.0046,37.8999,-68.6296
0.6975,-0.1029,0.4696,37.8177,11.8433,-66.4015
0.6577,-0.0423,0.6700,28.8979,-11.0657,-49.4740
0.6666,-0.0420,0.7086,19.3051,-18.2359,-44.5094
0.6786,-0.0858,0.7451,12.9124,-12.0078,-48.0310
0.6401,-0.0823,0.7374,6.6469,2.4599,-52.8984
0.6710,-0.1147,0.6850,-1.7944,7.4693,-53.6237
0.6543,-0.1649,0.6979,-3.2001,10.6021,-49.9525
0.6556,-0.1405,0.6976,-1.0991,13.5779,-52.8984
0.6340,-0.1431,0.7022,2.1683,15.3574,-63.2912
0.6456,-0.1947,0.6898,0.2692,13.1218,-66.1922
0.6104,-0.1932,0.7066,-4.6356,10.5872,-65.0856
0.6450,-0.2197,0.6830,-10.5423,8.8899,-65.0482
0.6185,-0.2133,0.6525,-12.3293,2.4001,-67.1268
0.5753,-0.2515,0.6398,-15.8807,6.8787,-65.7660
0.6275,-0.2486,0.6718,-16.0153,3.2449,-72.1138
0.6072,-0.2725,0.7078,-10.9236,-5.7272,-75.9718
0.5973,-0.3019,0.6951,-10.7442,-4.4487,-78.2971
0.5834,-0.3340,0.6921,-18.5799,-1.1066,-75.0298
0.5823,-0.3660,0.7263,-19.3874,-3.7085,-74.3269
0.5260,-0.3693,0.7068,-13.9368,-8.7927,-67.5230
0.4510,-0.3675,0.7026,-11.5367,-5.7048,-63.1117
0.4712,-0.3838,0.7098,-13.3386,-1.2337,-52.3676
0.5137,-0.3605,0.6760,-14.1237,2.2505,-48.9507
0.5192,-0.3798,0.6991,-15.6190,0.0150,-48.7637
0.5220,-0.3800,0.7356,-19.0509,-0.6580,-47.4030
0.5027,-0.4083,0.7313,-17.4509,-0.4636,-46.6628
0.4744,-0.4184,0.7269,-11.7311,-1.0243,-42.2813
0.4368,-0.4131,0.7228,-6.0114,-0.7103,-38.9168
0.4438,-0.4401,0.7412,-2.9982,0.0972,-34.0045
0.4618,-0.4477,0.7390,-1.0542,-6.7366,-27.7464
0.4680,-0.4492,0.7505,-1.5627,-13.5704,-21.6678
0.4255,-0.4694,0.7456,-2.4374,-13.0470,-14.1910
0.4282,-0.4700,0.7694,-4.5459,-6.7441,-4.4711
0.4030,-0.4615,0.7542,-2.4973,-4.9721,0.7178
0.4077,-0.4470,0.7448,0.3365,-12.1573,9.9815
0.3909,-0.4456,0.7541,0.3664,-11.1330,14.5050
0.4016,-0.4498,0.7631,0.3215,-10.9161,19.7313
0.3975,-0.4418,0.7744,-0.4561,-8.5011,27.6717
0.3717,-0.4397,0.7801,-2.6842,-0.2243,35.7690
0.3369,-0.4340,0.7821,-7.3796,12.2844,52.1881
0.3508,-0.4229,0.7542,-16.4415,27.2829,76.4429
0.3846,-0.4004,0.7408,-20.6210,41.2570,96.9891
0.4699,-0.3555,0.7236,-19.5518,40.3448,113.9091
0.5016,-0.2607,0.7183,-15.8733,33.8326,125.1019
0.5406,-0.2490,0.7261,-12.7405,28.7184,128.5413
0.5511,-0.2117,0.7105,-0.6804,16.9948,129.6104
0.5517,-0.1764,0.7238,5.8095,3.5515,133.5956
0.6182,-0.1257,0.7291,5.4805,-10.8862,136.4517
0.6232,-0.0613,0.7280,2.8636,-19.2303,135.6442
0.6238,-0.0042,0.7405,-7.7759,-15.8957,136.8031
0.6655,0.0048,0.7945,-17.6677,-17.9967,130.2385
0.6458,0.0419,0.8162,-23.6342,-24.7557,126.9412
0.6270,0.0840,0.8224,-21.2715,-29.7128,123.2103
0.6040,0.1157,0.8051,-14.8116,-36.8233,114.6718
0.5766,0.1328,0.8286,-1.8393,-39.4402,100.8173
0.5064,0.1341,0.7899,8.9647,-31.4774,81.8262
0.4545,0.1224,0.7463,7.5964,-12.4414,63.9940
0.4821,0.2256,0.7380,-11.0432,9.5554,46.6179
0.5394,0.2280,0.7595,-27.6044,8.3965,60.9435
0.4803,0.1880,0.7026,-28.2623,1.9664,81.8486
0.4638,0.2480,0.7465,-32.1503,17.2340,76.3158
0.7140,0.2740,1.1220,-36.5691,28.2175,67.4109
0.4337,0.2536,0.8492,-11.7909,-39.4177,68.3455
0.4815,0.3123,0.8418,-7.5291,-23.8361,62.5360
0.4424,0.3589,0.8055,-8.1123,-10.1311,63.3585
0.4633,0.3600,0.8636,-11.5517,10.8189,62.5958
0.4413,0.3656,0.8014,-14.4751,24.3071,66.2071
0.4274,0.3392,0.7455,-22.1014,32.9877,77.1980
0.4075,0.3726,0.7626,-21.2416,34.9690,82.6711
0.4160,0.3779,0.7905,-15.1480,32.0157,83.9720
0.4588,0.4266,0.8273,-4.5309,18.3556,79.2691
0.4273,0.4372,0.8137,6.0039,0.0822,77.4971
0.3876,0.4114,0.7762,12.0601,-1.4879,71.0297
0.3491,0.4262,0.7369,9.8320,11.9180,65.5791
0.3703,0.4321,0.7285,3.5963,32.2400,71.1044
0.3536,0.4283,0.8030,2.7290,37.8700,68.3978
0.3671,0.4793,0.7690,9.0544,30.3259,71.8147
0.3417,0.4841,0.7764,8.7703,16.1948,73.4148
0.3245,0.4501,0.7180,7.1703,15.2303,74.7083
0.2951,0.4563,0.6472,-2.0337,20.8528,73.3549
0.3138,0.5403,0.7893,-7.6637,25.8623,68.7642
0.3733,0.4879,0.8120,-14.3330,36.5990,47.8291
0.3831,0.5162,0.7549,-11.0358,13.1966,34.4606
0.3519,0.5262,0.7375,-8.8451,4.8674,20.4117
0.2891,0.5892,0.7078,-9.1217,2.4001,15.8359
0.2661,0.5693,0.6931,-11.6264,4.3365,20.1874
0.2712,0.5533,0.7151,-12.8302,5.5029,22.4155
0.2843,0.5171,0.7563,-10.9610,6.1385,20.4192
0.3084,0.5424,0.7963,-7.0506,4.0001,12.3442
0.3089,0.5503,0.7745,-3.4244,2.0486,4.6730
0.3038,0.5466,0.7602,0.1944,2.2131,-1.2711
0.2881,0.5552,0.7491,1.8318,0.9196,-5.6226
0.2853,0.5449,0.7316,2.7440,0.5981,-7.7310
0.2984,0.5444,0.7278,1.3159,0.7626,-11.6788
0.3129,0.5485,0.7519,1.3084,0.8075,-17.4135
0.3225,0.5728,0.7403,1.8169,-2.0412,-23.7090
0.3228,0.5756,0.7485,3.0505,-4.0749,-28.7184
0.3340,0.5647,0.7505,5.2637,-3.6412,-35.9410
0.3417,0.5255,0.7479,3.8356,-6.4525,-46.4459
0.3563,0.5029,0.7407,-2.1533,-10.5423,-61.9304
0.3716,0.4935,0.7629,-10.5348,-13.4882,-80.5177
0.4169,0.5136,0.7972,-13.7498,-14.4676,-98.7238
0.4238,0.4877,0.8166,-4.7627,-18.0191,-113.1764
0.3687,0.4299,0.7506,8.1871,-20.1425,-125.7375
0.3257,0.3549,0.6205,5.9067,-13.5928,-145.2594
0.3680,0.4122,0.6606,-0.2094,2.7141,-161.9775
0.3961,0.3980,0.8350,24.2921,-75.9569,-138.6424
0.4385,0.4500,0.7925,37.2719,-72.8241,-121.0121
0.4639,0.3998,0.7814,33.0251,-36.5392,-98.2527
0.4709,0.3544,0.7964,18.0191,3.7907,-79.2168
0.4783,0.2785,0.7938,4.2992,35.5223,-56.7490
0.4689,0.2484,0.7755,-14.7368,62.3192,-36.6064
0.4568,0.2248,0.7824,-28.3072,66.4015,-31.4848
0.4786,0.2336,0.7509,-35.4475,48.4647,-34.9615
0.5214,0.2363,0.7660,-34.1840,25.4959,-42.7972
0.5464,0.2447,0.7734,-30.3857,11.6339,-55.7396
0.6036,0.2762,0.8042,-21.5781,6.2581,-73.5942
0.5949,0.2879,0.8054,-11.1479,8.7778,-94.3199
0.5963,0.2598,0.7493,-0.7253,14.2209,-104.8622
0.6221,0.1884,0.7307,4.5982,25.2267,-99.0976
0.5987,0.1775,0.6923,3.2524,36.9579,-89.8338
0.6227,0.1363,0.7025,1.0468,37.2420,-84.4431
0.6343,0.1266,0.7104,-0.5757,36.8906,-84.0468
0.6754,0.1020,0.7189,0.4337,33.9223,-88.2338
0.6724,0.1047,0.7084,0.9570,39.3280,-98.0284
0.6888,0.0438,0.7418,5.9740,43.0141,-111.4268
0.6652,0.1026,0.5463,13.5405,34.8344,-115.5316
0.9091,0.1531,0.4347,13.9368,4.9571,-102.3126
0.6682,-0.1224,0.6428,14.7144,7.3422,-95.5611
0.6397,-0.1171,0.6769,7.4170,-0.3365,-76.7569
0.6452,-0.1527,0.6223,-2.4973,-1.7795,-61.2650
0.6532,-0.1514,0.6566,-12.2919,10.8264,-55.2686
0.6652,-0.1641,0.6559,-12.7330,7.0132,-53.7508
0.6881,-0.1732,0.6860,-8.1796,-7.0581,-56.5321
0.6825,-0.2070,0.6903,2.6094,-21.4285,-57.2798
0.7197,-0.1882,0.7032,8.9423,-38.2214,-59.7173
0.6239,-0.2330,0.7280,11.4769,-41.9299,-66.9174
0.5579,-0.2773,0.6989,13.8396,-27.5520,-55.0966
0.5854,-0.2875,0.6836,10.0264,-24.1949,-55.0816
0.5584,-0.2904,0.6768,9.1965,-33.8924,-53.1975
0.5325,-0.2985,0.6558,3.9104,-31.4774,-49.6011
0.5747,-0.3215,0.6771,-3.9851,-21.5631,-46.7525
0.5989,-0.3467,0.7197,-5.5328,-15.8284,-52.5769
0.5303,-0.3646,0.7734,-3.3870,-19.2303,-58.7154
0.4471,-0.3765,0.7175,1.8767,-16.2695,-60.9659
0.4275,-0.3832,0.6981,4.4188,-12.2694,-59.2088
0.4761,-0.4229,0.7624,7.1030,-10.3180,-54.1096
0.4390,-0.4425,0.7761,8.4488,-21.7575,-48.7712
0.4224,-0.4332,0.7373,10.1984,-30.9016,-43.1786
0.4202,-0.4344,0.7734,4.0375,-33.1671,-37.3317
0.4075,-0.4361,0.7921,-2.7365,-24.5464,-38.1018
0.4120,-0.4425,0.7570,-7.6488,-2.3253,-38.7971
0.3922,-0.4556,0.7939,-11.3722,8.3366,-37.4513
0.4026,-0.4500,0.7812,-8.8077,3.7085,-38.9841
0.3394,-0.4550,0.7769,-5.3011,-2.7365,-40.7785
0.3126,-0.4781,0.7708,-2.5795,-1.5028,-37.5485
0.2938,-0.5125,0.8170,-0.6355,3.8431,-28.7184
0.3175,-0.5098,0.7954,-0.4935,-1.0318,-18.1612
0.2998,-0.5226,0.7537,-1.7122,-6.2730,-12.8900
0.3536,-0.5010,0.7670,-5.3085,-1.7944,-10.4526
0.3480,-0.4838,0.7780,-7.3871,-1.4580,-12.2021
0.3450,-0.4933,0.7825,-7.9478,-4.6356,-12.0003
0.3306,-0.4796,0.7997,-10.1759,0.2318,-13.3611
0.3178,-0.4791,0.7901,-11.2302,4.3814,-14.0639
0.2996,-0.4948,0.8166,-10.9535,1.8468,-9.6002
0.2805,-0.5020,0.8170,-8.8152,1.3234,-2.1982
0.2662,-0.4880,0.8260,-5.4207,3.7683,5.2562
0.2720,-0.5014,0.8263,-2.6692,0.6804,11.7461
0.2765,-0.4859,0.8165,-0.4561,-5.0020,20.2921
0.2441,-0.4816,0.8115,-1.6374,0.1720,32.7634
0.2175,-0.4644,0.7761,-8.0151,9.5180,51.0068
0.2718,-0.4324,0.8062,-20.7780,17.2191,71.0596
0.3339,-0.4423,0.7747,-29.8848,25.3912,86.6861
0.3781,-0.4002,0.7938,-35.8139,18.8191,94.9255
